district_name,population
округ Коломна,33543
Сенной округ,20342
Адмиралтейский округ,23971
округ Семёновский,22109
округ Измайловское,32761
Екатерингофский округ,21698
округ № 7,36749
Васильевский округ,31937
округ Гавань,41719
округ Морской,36676
округ Остров Декабристов,61639
Левашово,6134
Парголово,115762
округ Сампсониевское,39654
округ Светлановское,90456
округ Сосновское,60831
округ № 15,61428
округ Сергиевское,60398
округ Шувалово-Озерки,117262
округ Гражданка,67736
округ Академическое,108955
Финляндский округ,72500
округ № 21,76698
округ Пискарёвка,82129
округ Северный,48225
округ Прометей,76729
округ Княжево,59414
округ Ульянка,75768
округ Дачное,70009
округ Автово,42496
Нарвский округ,33237
округ Красненькая речка,38080
округ Морские ворота,10415
Колпино,147179
Металлострой,27592
Петро-Славянка,2146
Понтонный,8603
Сапёрный,1733
Усть-Ижора,2617
округ Полюстрово,76707
округ Большая Охта,58176
округ Малая Охта,43319
округ Пороховые,128807
округ Ржевка,61345
Красное Село,61162
округ Юго-Запад,58269
Южно-Приморский округ,130109
округ Сосновая поляна,76863
округ Урицк,49984
округ Константиновское,35236
округ Горелово,29194
Кронштадт,44655
Зеленогорск,15568
Сестрорецк,46304
Белоостров,2466
Комарово,1476
Молодёжное,1588
Песочный,9977
Репино,3022
Серово,301
Смолячково,748
Солнечное,2048
Ушково,811
округ Невская застава,28441
Ивановский округ,27516
Обуховский округ,57556
округ Рыбацкое,71335
Народный округ,81210
округ № 54,68326
Невский округ,70577
округ Оккервиль,62501
округ Правобережный,89418
Введенский округ,15799
округ Кронверкское,16881
Посадский округ,16154
округ Аптекарский остров,21092
Петровский округ,17932
округ Чкаловское,30355
Ломоносов,38477
Петергоф,81767
Стрельна,14651
Лисий Нос,6596
округ Лахта-Ольгино,15968
округ № 65,194361
округ Ланское,70883
округ Комендантский аэродром,95484
округ Озеро Долгое,92572
округ Юнтолово,116908
округ Коломяги,122082
Павловск,18485
Тярлево,1765
Пушкин,108969
Александровская,3221
Шушары,144901
округ Волковское,61224
округ № 72,67523
округ Купчино,55794
Георгиевский округ,91841
Александровский округ,62485
Балканский округ,73604
Дворцовый округ,7288
округ № 78,8959
Литейный округ,39786
округ Смольнинское,73545
округ Лиговка-Ямская,19523
Владимирский округ,49761
округ Гагаринское,65614
округ Московская застава,45013
округ Новоизмайловское,83286
округ Пулковский меридиан,45710
округ Звёздное,94318
